data_date,portfolio_value,unrealized_return
2026-01-17 02:25:21.169788+00:00,5200.93,394.7
2026-01-17 02:42:23.030084+00:00,5200.93,394.7
2026-01-17 03:12:23.501585+00:00,5200.93,394.7
2026-01-17 03:42:23.650860+00:00,5200.93,394.7
2026-01-17 04:12:23.851493+00:00,5200.93,394.7
2026-01-17 04:42:24.531572+00:00,5200.93,394.7
2026-01-17 05:12:25.792398+00:00,5200.93,394.7
2026-01-17 06:12:23.942780+00:00,5200.93,394.7
2026-01-17 07:12:23.239766+00:00,5200.93,394.7
2026-01-17 07:42:23.610678+00:00,5200.93,394.7
2026-01-17 08:12:24.061456+00:00,5200.93,394.7
2026-01-17 08:42:23.403569+00:00,5200.93,394.7
2026-01-17 09:12:23.576841+00:00,5200.93,394.7
2026-01-17 09:42:23.327759+00:00,5200.93,394.7
2026-01-17 11:35:56.629781+00:00,5200.93,394.7
2026-01-17 11:38:33.609932+00:00,5200.93,394.7
2026-01-17 11:50:28.306151+00:00,5200.93,394.7
2026-01-17 11:59:45.902442+00:00,5200.93,394.7
2026-01-17 12:14:45.920818+00:00,5200.93,394.7
2026-01-17 12:29:45.646320+00:00,5200.93,394.7
2026-01-17 12:44:45.765452+00:00,5200.93,394.7
2026-01-17 12:59:46.135144+00:00,5200.93,394.7
2026-01-17 13:14:46.450297+00:00,5200.93,394.7
2026-01-17 13:29:45.641253+00:00,5200.93,394.7
2026-01-17 13:44:46.033667+00:00,5200.93,394.7
2026-01-17 13:59:45.829719+00:00,5200.93,394.7
2026-01-17 14:14:49.741634+00:00,5200.93,394.7
2026-01-17 14:29:46.433693+00:00,5200.93,394.7
2026-01-17 14:44:49.193709+00:00,5200.93,394.7
2026-01-17 14:59:47.863535+00:00,5200.93,394.7
2026-01-17 15:14:46.506866+00:00,5200.93,394.7
2026-01-17 15:29:46.004055+00:00,5200.93,394.7
2026-01-17 15:44:45.712696+00:00,5200.93,394.7
2026-01-17 15:59:45.811284+00:00,5200.93,394.7
2026-01-17 16:14:46.378977+00:00,5200.93,394.7
2026-01-17 16:29:46.616153+00:00,5200.93,394.7
2026-01-17 16:44:45.849717+00:00,5200.93,394.7
2026-01-17 16:59:45.633883+00:00,5200.93,394.7
2026-01-17 17:29:45.805101+00:00,5200.93,394.7
2026-01-17 20:21:44.188148+00:00,5200.93,394.7
2026-01-17 20:31:36.688133+00:00,5200.93,394.7
2026-01-17 23:58:38.220107+00:00,5200.93,394.7
2026-01-19 00:00:41.131503+00:00,5199.59,393.36
2026-01-19 00:29:34.232450+00:00,5198.49,392.26
2026-01-19 00:59:33.840645+00:00,5196.48,390.25
2026-01-19 01:29:33.805615+00:00,5198.0,391.77
2026-01-19 01:59:33.917219+00:00,5197.71,391.48
2026-01-19 02:29:34.202603+00:00,5197.26,391.03
2026-01-19 02:59:33.946804+00:00,5198.23,392.0
2026-01-19 03:29:34.446217+00:00,5197.28,391.05
2026-01-19 03:59:33.971102+00:00,5196.34,390.11
2026-01-19 04:29:33.632626+00:00,5195.37,389.14
2026-01-19 04:59:33.933542+00:00,5194.99,388.76
2026-01-19 05:29:33.696982+00:00,5195.7,389.47
2026-01-19 05:59:33.769708+00:00,5196.68,390.45
2026-01-19 06:29:33.851892+00:00,5196.24,390.01
2026-01-19 06:59:34.163870+00:00,5197.27,391.04
2026-01-19 07:29:33.667311+00:00,5195.44,389.21
2026-01-19 07:59:33.714181+00:00,5196.19,389.96
2026-01-19 08:29:33.926057+00:00,5168.7,362.47
2026-01-19 08:59:33.873635+00:00,5166.79,360.56
2026-01-19 09:37:43.364896+00:00,5155.43,349.2
2026-01-19 10:23:08.370454+00:00,5153.09,346.86
2026-01-19 10:38:43.919088+00:00,5152.37,346.14
2026-01-19 11:13:01.145215+00:00,5148.66,342.43
2026-01-19 11:56:09.099289+00:00,5149.68,343.45
2026-01-19 11:59:33.959527+00:00,5149.72,343.49
2026-01-19 12:31:18.560853+00:00,5150.96,344.73
2026-01-19 12:59:33.673189+00:00,5156.29,350.06
2026-01-19 13:37:41.151574+00:00,5155.9,349.67
2026-01-19 13:59:34.347773+00:00,5155.74,349.51
2026-01-19 14:56:16.387750+00:00,5148.66,342.43
2026-01-19 15:04:49.104663+00:00,5152.0,345.77
2026-01-19 15:40:18.452973+00:00,5152.71,346.48
2026-01-19 16:05:40.275378+00:00,5152.91,346.68
2026-01-19 16:54:04.130113+00:00,5150.29,344.06
2026-01-19 17:26:54.575585+00:00,5151.04,344.81
2026-01-19 17:42:50.059376+00:00,5150.51,344.28
2026-01-19 18:13:19.701284+00:00,5149.44,343.21
2026-01-19 19:10:03.418018+00:00,5149.64,343.41
2026-01-19 19:29:34.219079+00:00,5149.31,343.08
2026-01-19 20:08:45.043006+00:00,5150.08,343.85
2026-01-19 20:40:11.106520+00:00,5149.99,343.76
2026-01-19 21:12:25.744499+00:00,5149.53,343.3
2026-01-19 21:56:37.804955+00:00,5149.05,342.82
2026-01-19 22:12:45.734831+00:00,5147.67,341.44
2026-01-19 22:29:35.855228+00:00,5148.0,341.77
2026-01-19 22:59:34.235487+00:00,5147.76,341.53
2026-01-19 23:29:34.224220+00:00,5149.46,343.23
2026-01-20 01:00:16.166636+00:00,5146.93,340.7
2026-01-20 01:47:31.930330+00:00,5146.17,339.94
2026-01-20 02:22:37.962367+00:00,5146.06,339.83
2026-01-20 02:39:25.647842+00:00,5145.95,339.72
2026-01-20 03:47:36.719753+00:00,5144.34,338.11
2026-01-20 04:23:35.845641+00:00,5144.27,338.04
2026-01-20 04:54:52.759434+00:00,5142.71,336.48
2026-01-20 05:24:41.847154+00:00,5142.69,336.46
2026-01-20 06:42:21.563259+00:00,5139.38,333.15
2026-01-20 07:26:44.676310+00:00,5138.03,331.8
2026-01-20 07:30:51.561619+00:00,5138.41,332.18
2026-01-20 08:13:47.096973+00:00,5107.35,301.12
2026-01-20 08:29:33.707640+00:00,5102.26,296.03
2026-01-20 09:03:53.313098+00:00,5086.52,280.29
2026-01-20 10:00:33.054092+00:00,5067.07,260.84
2026-01-20 10:17:54.887355+00:00,5075.08,268.85
2026-01-20 11:09:43.163169+00:00,5077.19,270.96
2026-01-20 11:09:56.746547+00:00,5076.99,270.76
2026-01-20 11:39:20.588152+00:00,5076.48,270.25
2026-01-20 12:22:54.464667+00:00,5078.09,271.86
2026-01-20 12:30:05.104171+00:00,5076.77,270.54
2026-01-20 12:59:33.994132+00:00,5087.26,281.03
2026-01-20 13:29:34.197236+00:00,5087.87,281.64
2026-01-20 13:59:34.369574+00:00,5076.3,270.07
2026-01-20 14:29:34.012474+00:00,5081.06,274.83
2026-01-20 14:59:33.968693+00:00,5101.66,295.43
2026-01-20 15:29:33.811413+00:00,5103.28,297.05
2026-01-20 15:59:34.039271+00:00,5105.25,299.02
2026-01-20 16:29:34.131280+00:00,5108.98,302.75
2026-01-20 16:59:34.230772+00:00,5111.33,305.1
2026-01-20 17:29:34.081559+00:00,5110.38,304.15
2026-01-20 17:59:34.378434+00:00,5109.25,303.02
2026-01-20 18:29:33.789419+00:00,5108.83,302.6
2026-01-20 18:59:34.273221+00:00,5107.21,300.98
2026-01-20 19:29:34.107268+00:00,5107.1,300.87
2026-01-20 19:59:34.392342+00:00,5108.46,302.23
2026-01-20 20:29:34.298465+00:00,5107.03,300.8
2026-01-20 20:59:33.880878+00:00,5106.93,300.7
2026-01-20 21:29:34.313894+00:00,5107.08,300.85
2026-01-20 21:59:34.389729+00:00,5106.51,300.28
2026-01-20 22:29:34.388161+00:00,5105.33,299.1
2026-01-20 22:59:33.698455+00:00,5107.22,300.99
2026-01-20 23:29:33.946864+00:00,5107.14,300.91
2026-01-20 23:59:34.602066+00:00,5105.44,299.21
2026-01-21 02:04:09.609274+00:00,5108.7,302.47
2026-01-21 02:37:33.364547+00:00,5107.08,300.85
2026-01-21 03:05:13.476429+00:00,5107.51,301.28
2026-01-21 03:52:59.497961+00:00,5109.79,303.56
2026-01-21 08:31:09.383933+00:00,5108.37,302.14
2026-01-21 08:59:33.830866+00:00,5105.56,299.33
2026-01-21 09:29:33.824683+00:00,5103.56,297.33
2026-01-21 09:59:34.050215+00:00,5096.93,290.7
2026-01-21 10:29:34.317211+00:00,5100.18,293.95
2026-01-21 10:59:34.373457+00:00,5098.84,292.61
2026-01-21 11:29:34.177797+00:00,5095.95,289.72
2026-01-21 11:59:33.928744+00:00,5082.58,276.35
2026-01-21 12:29:34.047313+00:00,5081.83,275.6
2026-01-21 12:59:34.460162+00:00,5078.03,271.8
2026-01-21 13:29:34.129245+00:00,5077.3,271.07
2026-01-21 13:59:34.311780+00:00,5080.56,274.33
2026-01-21 14:29:33.883792+00:00,5101.6,295.37
2026-01-21 14:59:34.341654+00:00,5116.71,310.48
2026-01-21 15:29:34.522953+00:00,5124.28,318.05
2026-01-21 15:59:34.235909+00:00,5140.05,333.82
2026-01-21 16:29:33.807735+00:00,5139.35,333.12
2026-01-21 16:59:33.721292+00:00,5130.38,324.15
2026-01-21 17:29:34.615893+00:00,5130.45,324.22
2026-01-21 17:59:33.927709+00:00,5130.91,324.68
2026-01-21 18:29:37.553770+00:00,5131.22,324.99
2026-01-21 18:59:33.989686+00:00,5131.75,325.52
2026-01-21 19:29:34.673225+00:00,5137.23,331.0
2026-01-21 19:59:35.549226+00:00,5138.36,332.13
2026-01-21 20:29:35.039224+00:00,5138.31,332.08
2026-01-21 20:59:35.115910+00:00,5137.98,331.75
2026-01-21 21:29:35.509893+00:00,5139.32,333.09
2026-01-21 21:59:36.894521+00:00,5138.98,332.75
2026-01-21 22:29:34.078620+00:00,5139.7,333.47
2026-01-21 22:59:33.732851+00:00,5139.3,333.07
2026-01-21 23:29:33.845420+00:00,5141.84,335.61
2026-01-21 23:59:33.761914+00:00,5142.01,335.78
2026-01-22 00:29:34.065295+00:00,5140.16,333.93
2026-01-22 00:59:34.750048+00:00,5139.48,333.25
2026-01-22 01:29:34.713357+00:00,5140.56,334.33
2026-01-22 01:59:34.507105+00:00,5139.62,333.39
2026-01-22 02:43:15.331229+00:00,5139.81,333.58
2026-01-22 02:59:34.565066+00:00,5139.61,333.38
2026-01-22 03:29:33.864804+00:00,5139.95,333.72
2026-01-22 03:59:34.497360+00:00,5139.92,333.69
2026-01-22 04:29:33.712963+00:00,5138.86,332.63
2026-01-22 04:59:34.173700+00:00,5138.93,332.7
2026-01-22 05:29:33.784719+00:00,5138.8,332.57
2026-01-22 05:59:33.816270+00:00,5138.91,332.68
2026-01-22 06:29:33.938343+00:00,5136.92,330.69
2026-01-22 06:59:34.073346+00:00,5138.09,331.86
2026-01-22 07:29:34.597762+00:00,5138.82,332.59
2026-01-22 07:59:34.359045+00:00,5139.42,333.19
2026-01-22 08:29:33.798470+00:00,5177.04,370.81
2026-01-22 08:59:33.855634+00:00,5182.96,376.73
2026-01-22 09:29:34.323196+00:00,5186.77,380.54
2026-01-22 09:59:33.861668+00:00,5188.39,382.16
2026-01-22 10:29:34.804945+00:00,5186.05,379.82
2026-01-22 10:59:34.334530+00:00,5183.85,377.62
2026-01-22 11:29:33.863322+00:00,5180.16,373.93
2026-01-22 11:59:34.072304+00:00,5173.66,367.43
2026-01-22 12:29:34.155744+00:00,5174.8,368.57
2026-01-22 12:59:34.212535+00:00,5175.04,368.81
2026-01-22 13:29:34.688623+00:00,5170.44,364.21
2026-01-22 13:59:34.973739+00:00,5178.58,372.35
2026-01-22 14:29:34.052490+00:00,5179.93,373.7
2026-01-22 14:59:34.432840+00:00,5169.31,363.08
2026-01-22 15:29:34.274716+00:00,5170.82,364.59
2026-01-22 15:59:34.149139+00:00,5175.77,369.54
2026-01-22 16:29:34.032124+00:00,5178.32,372.09
2026-01-22 16:59:33.720788+00:00,5175.9,369.67
2026-01-22 17:29:34.539386+00:00,5175.27,369.04
2026-01-22 18:22:47.925961+00:00,5175.82,369.59
2026-01-22 18:48:35.985915+00:00,5175.15,368.92
2026-01-22 18:59:34.290286+00:00,5175.23,369.0
2026-01-22 19:29:34.277526+00:00,5175.01,368.78
2026-01-22 19:59:33.848341+00:00,5174.5,368.27
2026-01-22 20:29:33.992921+00:00,5174.32,368.09
2026-01-22 21:09:59.532916+00:00,5175.39,369.16
2026-01-22 21:29:34.736917+00:00,5173.93,367.7
2026-01-22 21:59:34.094303+00:00,5173.15,366.92
2026-01-22 22:29:33.696242+00:00,5171.27,365.04
2026-01-23 02:13:09.064758+00:00,5174.77,368.54
2026-01-23 03:19:56.448833+00:00,5174.99,368.76
2026-01-23 03:24:26.896461+00:00,5174.86,368.63
2026-01-23 03:40:25.483851+00:00,5175.03,368.8
2026-01-23 05:40:38.393606+00:00,5174.41,368.18
2026-01-23 06:11:42.402038+00:00,5175.04,368.81
2026-01-23 07:03:39.796649+00:00,5176.2,369.97
2026-01-23 07:18:22.489993+00:00,5176.02,369.79
2026-01-23 08:51:32.111672+00:00,5169.92,363.69
2026-01-23 08:51:40.121574+00:00,5169.8,363.57
2026-01-23 08:59:34.242522+00:00,5169.19,362.96
2026-01-23 09:29:34.455746+00:00,5170.49,364.26
2026-01-23 09:59:34.050162+00:00,5166.65,360.42
2026-01-23 11:00:06.941631+00:00,5166.58,360.35
2026-01-23 11:29:34.758269+00:00,5176.42,370.19
2026-01-23 11:59:34.327910+00:00,5173.08,366.85
2026-01-23 12:29:34.575268+00:00,5172.72,366.49
2026-01-23 12:59:34.583163+00:00,5174.07,367.84
2026-01-23 13:29:34.517438+00:00,5167.99,361.76
2026-01-23 13:59:34.085738+00:00,5168.37,362.14
2026-01-23 14:29:34.324495+00:00,5169.5,363.27
2026-01-23 14:59:34.177347+00:00,5166.63,360.25
2026-01-23 15:29:33.915733+00:00,5174.41,368.03
2026-01-23 15:59:33.847333+00:00,5175.44,369.06
2026-01-23 16:29:34.417948+00:00,5171.42,365.04
2026-01-23 18:59:29.613561+00:00,5164.62,358.24
2026-01-23 19:59:29.725746+00:00,5162.51,356.13
2026-01-24 19:38:35.998870+00:00,5156.57,350.19
2026-01-24 19:40:22.511581+00:00,5156.57,350.19
2026-01-24 19:59:59.611165+00:00,5156.57,350.19
2026-01-24 20:29:50.974199+00:00,5156.57,350.19
2026-01-26 11:51:06.248132+00:00,5142.22,335.84
2026-01-26 12:12:11.976588+00:00,5148.89,342.51
2026-01-26 12:42:13.535922+00:00,5150.09,343.71
2026-01-26 13:12:09.708790+00:00,5153.3,346.92
2026-01-26 13:42:10.890474+00:00,5146.99,340.61
